"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE12500105170648489890";"01.04.2026";"01.04.2026";"LOHN  GEHALT";"Gehalt Monat 04 2026";"";"";"";"";"";"";"Muster GmbH";"DE02120300000000202051";"COBADEFFXXX";"2.450,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"05.04.2026";"05.04.2026";"DAUERAUFTRAG";"Miete Wohnung";"";"";"";"";"";"";"Hausverwaltung Schmidt";"DE44500105175407324931";"COBADEFFXXX";"-890,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"02.04.2026";"02.04.2026";"FOLGELASTSCHRIFT";"Netflix Abo";"";"";"";"";"";"";"NETFLIX INTERNATIONAL B.V.";"NL18INGB0004489969";"COBADEFFXXX";"-17,99";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"08.04.2026";"08.04.2026";"FOLGELASTSCHRIFT";"Spotify Premium";"";"";"";"";"";"";"Spotify AB";"SE3550000000054910000003";"COBADEFFXXX";"-11,99";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"15.04.2026";"15.04.2026";"FOLGELASTSCHRIFT";"Beitrag Krankenversicherung";"";"";"";"";"";"";"Techniker Krankenkasse";"DE86500700100175526303";"COBADEFFXXX";"-118,50";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"14.04.2026";"14.04.2026";"FOLGELASTSCHRIFT";"Abschlag Strom";"";"";"";"";"";"";"Stadtwerke Muenchen";"DE44500105175407324932";"COBADEFFXXX";"-78,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"03.04.2026";"03.04.2026";"KARTENZAHLUNG";"REWE SAGT DANKE 123456";"";"";"";"";"";"";"REWE Markt GmbH";"DE89370400440532013000";"COBADEFFXXX";"-64,20";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"11.04.2026";"11.04.2026";"KARTENZAHLUNG";"EDEKA Filiale";"";"";"";"";"";"";"EDEKA Sued";"DE89370400440532013001";"COBADEFFXXX";"-52,80";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"19.04.2026";"19.04.2026";"KARTENZAHLUNG";"ALDI SUED SAGT DANKE";"";"";"";"";"";"";"ALDI SUED";"DE89370400440532013002";"COBADEFFXXX";"-41,35";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"24.04.2026";"24.04.2026";"KARTENZAHLUNG";"LIDL SAGT DANKE";"";"";"";"";"";"";"LIDL DIENSTLEISTUNG";"DE89370400440532013003";"COBADEFFXXX";"-38,90";"EUR";"Umsatz gebucht"
